Gene,Cluster
hsa:2641,35
hsa:1585,32
hsa:64127,87
hsa:27294,5
hsa:3625,87
hsa:55207,19
hsa:2936,48
hsa:22845,74
hsa:186,6
hsa:1213,87
hsa:8131,31
hsa:27165,55
hsa:4012,25
hsa:3680,61
hsa:2339,74
hsa:55964,57
hsa:51365,80
hsa:859,46
cpd:C00762,87
hsa:4496,49
hsa:57176,87
hsa:517,3
hsa:5133,9
hsa:10109,76
hsa:1454,57
hsa:8863,68
hsa:8471,54
hsa:22936,76
hsa:54541,76
hsa:3053,77
hsa:5315,5
hsa:64764,2
hsa:23028,2
hsa:637,74
hsa:797,31
hsa:6484,17
hsa:554235,74
hsa:115650,20
hsa:1572,24
hsa:7367,87
hsa:374875,53
hsa:7064,62
hsa:64768,76
hsa:9420,20
hsa:54766,3
hsa:3586,27
hsa:83700,27
hsa:773,47
hsa:1813,29
hsa:87,77
hsa:54518,7
hsa:4842,68
hsa:9254,87
hsa:2268,87
cpd:C06254,77
hsa:2687,21
hsa:6383,29
hsa:2539,70
hsa:4629,77
hsa:318,54
hsa:7128,70
hsa:5734,79
hsa:8911,55
hsa:1509,3
hsa:406923,19
hsa:3764,5
hsa:9560,5
path:map00904,47
hsa:3033,77
hsa:406953,77
hsa:1379,12
hsa:1027,7
hsa:999,51
hsa:1050,49
hsa:57680,43
hsa:6403,43
hsa:9474,7
hsa:9945,54
hsa:7442,49
hsa:9468,3
hsa:3265,5
hsa:5214,49
hsa:54675,47
hsa:4684,47
hsa:4793,3
hsa:410,81
cpd:C00290,51
hsa:112399,6
hsa:5509,46
hsa:2697,35
hsa:4087,76
hsa:51094,29
hsa:406895,14
hsa:3673,55
hsa:8698,15
hsa:8607,15
hsa:51384,37
hsa:2979,76
hsa:10720,63
hsa:4854,86
hsa:80228,86
hsa:5829,12
hsa:1439,9
cpd:C00280,50
hsa:5145,4
hsa:7316,56
hsa:831,23
hsa:652968,77
hsa:8681,5
hsa:10383,66
hsa:1908,29
hsa:574484,77
hsa:6095,77
hsa:8854,0
cpd:C16510,39
cpd:C02465,66
hsa:2053,32
hsa:3839,79
cpd:C03780,9
hsa:10905,12
hsa:7311,44
hsa:23761,81
hsa:9060,86
hsa:1777,62
hsa:7534,88
hsa:2864,5
hsa:81858,79
hsa:339896,34
hsa:81671,47
hsa:1586,35
hsa:1815,55
hsa:1958,33
hsa:4651,66
hsa:8200,87
hsa:551,87
hsa:29954,5
hsa:2617,79
hsa:6502,77
hsa:2033,77
hsa:1312,39
hsa:84617,77
hsa:7278,77
hsa:57216,12
